accession	label	query_group	reviewed	protein_name
B2NHN2	positive	e-PhaZ_EC3.1.1.75	true	Polyhydroxybutyrate depolymerase
O05527	positive	e-PhaZ_EC3.1.1.75	true	Poly(3-hydroxybutyrate) depolymerase
P12625	positive	e-PhaZ_EC3.1.1.75	true	Poly(3-hydroxybutyrate) depolymerase
Q51718	positive	e-PhaZ_EC3.1.1.76	true	Poly(3-hydroxyoctanoate) depolymerase
A0ACG4YFY4	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YGC5	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YH57	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YIS0	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YRR8	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YSM7	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4YVA5	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
A0ACG4Z051	positive	i-PhaZ_Cupriavidus_necator	false	Poly(3-hydroxyalkanoate) depolymerase
A0ACG4Z1I4	positive	i-PhaZ_Cupriavidus_necator	false	Polyhydroxyalkanoate depolymerase
Q7WXF6	positive	i-PhaZ_Cupriavidus_necator	false	Putative PHB depolymerase
A0A0B4L3C7	positive	i-PhaZ_Pseudomonas_putida	false	PHA depolymerase
A0A0B4L3Q2	positive	i-PhaZ_Pseudomonas_putida	false	PHA depolymerase
A0ABM7EMK2	positive	i-PhaZ_Pseudomonas_putida	false	Poly(3-hydroxyalkanoate) depolymerase
Q5Y152	positive	i-PhaZ_Pseudomonas_putida	false	Poly(3-hydroxyalkanoate) depolymerase
Q9R9W3	positive	i-PhaZ_Pseudomonas_putida	false	Poly(3-hydroxyalkanoate) depolymerase
A0ABY7N197	positive	e-PhaZ_Alcaligenes_faecalis	false	Polyhydroxyalkanoate depolymerase
A0A3Q9BTL6	positive	e-PhaZ_Undibacterium	false	Polyhydroxyalkanoate depolymerase
A0ABY9RN41	positive	e-PhaZ_Undibacterium	false	Polyhydroxyalkanoate depolymerase
A0A3N5XWX8	positive	e-PhaZ_Alteromonas	false	Polyhydroxyalkanoate depolymerase
A0ABT5L4W6	positive	e-PhaZ_Alteromonas	false	Polyhydroxyalkanoate depolymerase
A0ABT7T1G3	positive	e-PhaZ_Alteromonas	false	Polyhydroxyalkanoate depolymerase
A0A0P0EZS7	positive	i-PhaZ_Azospirillum_brasilense	false	Polyhydroxyalkanoate depolymerase
Q71KW6	positive	i-PhaZ_Azospirillum_brasilense	false	PHB depolymerase
Q0K9H3	positive	oligomer_hydrolase_EC3.1.1.22	true	D-(-)-3-hydroxybutyrate oligomer hydrolase
O05690	positive	oligomer_hydrolase_EC3.1.1.22	true	D-(-)-3-hydroxybutyrate oligomer hydrolase
Q9X6X9	positive	oligomer_hydrolase_EC3.1.1.22	true	D-(-)-3-hydroxybutyrate oligomer hydrolase
