accession	control_class	rationale
B2NHN2	ePhaZ_curated_core	experimental PHB depolymerase; typical secreted architecture
O05527	ePhaZ_curated_core	experimental PHB depolymerase; typical secreted architecture
P12625	ePhaZ_curated_core	experimental PHB depolymerase; typical secreted architecture
Q51718	ePhaZ_curated_core	experimental PHA depolymerase; typical secreted architecture
A0ABY7N197	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
A0A3Q9BTL6	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
A0ABY9RN41	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
A0A3N5XWX8	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
A0ABT5L4W6	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
A0ABT7T1G3	iPhaZ_like_challenge	annotation-only; full-length Cys-type PhaDED; cross-family confounded
