accession,query_group,reviewed,organism,gene,ec,protein_name,length,lineage,evidence,retrieval_date,split
B2NHN2,e-PhaZ_EC3.1.1.75,true,Talaromyces funiculosus,phaZ,,Polyhydroxybutyrate depolymerase,339,Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces sect. Talaromyces,pmid:16405909;1929416;doi:10.1016/0003-9861(91)90572-z;10.1016/j.jmb.2005.12.028;10.1023/A:1015245710406,2026-08-19,train
O05527,e-PhaZ_EC3.1.1.75,true,Delftia acidovorans,phaZCac,,Poly(3-hydroxybutyrate) depolymerase,494,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia,pmid:9406404;doi:10.1128/aem.63.12.4844-4852.1997,2026-08-19,train
P12625,e-PhaZ_EC3.1.1.75,true,Ralstonia pickettii,,,Poly(3-hydroxybutyrate) depolymerase,488,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,pmid:1409594;2644188;doi:10.1073/pnas.89.19.8990;10.1128/jb.171.1.184-189.1989,2026-08-19,train
Q51718,e-PhaZ_EC3.1.1.76,true,Pseudomonas fluorescens,phaZ,,Poly(3-hydroxyoctanoate) depolymerase,278,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:7961472;doi:10.1128/jb.176.22.7065-7073.1994,2026-08-19,validation
A0ACG4YFY4,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_06545,,Polyhydroxyalkanoate depolymerase,413,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,validation
A0ACG4YGC5,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_01410,,Polyhydroxyalkanoate depolymerase,404,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
A0ACG4YH57,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_08855,,Polyhydroxyalkanoate depolymerase,457,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
A0ACG4YIS0,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_05505,,Polyhydroxyalkanoate depolymerase,424,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
A0ACG4YRR8,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_25920,,Polyhydroxyalkanoate depolymerase,420,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,validation
A0ACG4YSM7,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_27765,,Polyhydroxyalkanoate depolymerase,414,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,validation
