phylum	family	genomes
Acidobacteriota	ePhaZ	798
Acidobacteriota	iPhaZ	29
Acidobacteriota	OH	1
Acidobacteriota	ArchPhaZ_hydrolase	54
Actinomycetota	ePhaZ	5657
Actinomycetota	iPhaZ	1687
Actinomycetota	OH	26
Actinomycetota	ArchPhaZ_hydrolase	206
Bacillota	ePhaZ	383
Bacillota	iPhaZ	54
Bacteroidota	ePhaZ	3117
Bacteroidota	iPhaZ	19
Bacteroidota	ArchPhaZ_hydrolase	148
Bdellovibrionota	ePhaZ	288
Bdellovibrionota	ArchPhaZ_hydrolase	1
Chloroflexota	ePhaZ	1155
Chloroflexota	iPhaZ	56
Chloroflexota	OH	5
Chloroflexota	ArchPhaZ_hydrolase	23
Cyanobacteriota	ePhaZ	303
Cyanobacteriota	iPhaZ	1
Cyanobacteriota	OH	5
Cyanobacteriota	ArchPhaZ_hydrolase	1
Desulfobacterota	ePhaZ	437
Desulfobacterota	iPhaZ	151
Desulfobacterota	OH	24
Desulfobacterota	ArchPhaZ_hydrolase	20
Gemmatimonadota	ePhaZ	544
Gemmatimonadota	iPhaZ	5
Gemmatimonadota	ArchPhaZ_hydrolase	20
Myxococcota	ePhaZ	200
Myxococcota	iPhaZ	44
Myxococcota	OH	7
Myxococcota	ArchPhaZ_hydrolase	8
Myxococcota_A	ePhaZ	623
Myxococcota_A	iPhaZ	181
Myxococcota_A	OH	4
Myxococcota_A	ArchPhaZ_hydrolase	12
Planctomycetota	ePhaZ	792
Planctomycetota	iPhaZ	4
Planctomycetota	ArchPhaZ_hydrolase	27
Pseudomonadota	ePhaZ	11995
Pseudomonadota	iPhaZ	23559
Pseudomonadota	OH	1337
Pseudomonadota	ArchPhaZ_hydrolase	402
Verrucomicrobiota	ePhaZ	230
Verrucomicrobiota	iPhaZ	5
Verrucomicrobiota	ArchPhaZ_hydrolase	7
Vulcanimicrobiota	ePhaZ	140
Vulcanimicrobiota	iPhaZ	68
Vulcanimicrobiota	OH	1
Vulcanimicrobiota	ArchPhaZ_hydrolase	11
