hit_family	marker_family	supported_loci	candidate_loci	support_rate
ArchPhaZ_hydrolase	BdhA	9256	158318	0.05846460920425978
ArchPhaZ_hydrolase	PHA_gran_rgn	33	158318	0.00020844123851994088
ArchPhaZ_hydrolase	PhaC	129	158318	0.0008148157505779507
ArchPhaZ_hydrolase	PhaE	18	158318	0.00011369522101087684
ArchPhaZ_hydrolase	PhaJ	2162	158318	0.013656059323639762
ArchPhaZ_hydrolase	phasin	65	158318	0.00041056607587261083
ArchPhaZ_patatin	BdhA	44929	315065	0.14260232015615826
ArchPhaZ_patatin	PHA_gran_rgn	1443	315065	0.0045800073000809354
ArchPhaZ_patatin	PhaC	2618	315065	0.008309396473743513
ArchPhaZ_patatin	PhaE	306	315065	0.0009712281592687223
ArchPhaZ_patatin	PhaJ	13546	315065	0.04299430276292194
ArchPhaZ_patatin	phasin	2746	315065	0.008715661847555267
OH	BdhA	1817	6236	0.29137267479153306
OH	PHA_gran_rgn	8	6236	0.0012828736369467607
OH	PhaC	371	6236	0.05949326491340603
OH	PhaE	332	6236	0.05323925593329057
OH	PhaJ	201	6236	0.03223220012828736
OH	phasin	31	6236	0.004971135343168698
ePhaZ	BdhA	55979	504716	0.11091187915580247
ePhaZ	PHA_gran_rgn	169	504716	0.00033484177240269774
ePhaZ	PhaC	1885	504716	0.0037347736152608594
ePhaZ	PhaE	167	504716	0.00033087914787722204
ePhaZ	PhaJ	12800	504716	0.025360796963044562
ePhaZ	phasin	1115	504716	0.00220916317295271
iPhaZ	BdhA	11672	51908	0.22485936657162672
iPhaZ	PHA_gran_rgn	1373	51908	0.02645064344609694
iPhaZ	PhaC	10640	51908	0.20497803806734993
iPhaZ	PhaE	5414	51908	0.1042999152346459
iPhaZ	PhaJ	2113	51908	0.040706634815442705
iPhaZ	phasin	3385	51908	0.06521152808815597
