family	threshold	TP	FP	FN	TN	precision	recall	F1	MCC
ePhaZ	1e-02	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-03	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-05	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-08	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-10	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-15	10	0	0	18	1.0	1.0	1.0	1.0
ePhaZ	1e-20	10	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-02	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-03	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-05	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-08	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-10	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-15	17	0	0	18	1.0	1.0	1.0	1.0
iPhaZ	1e-20	17	0	0	18	1.0	1.0	1.0	1.0
OH	1e-02	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-03	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-05	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-08	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-10	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-15	28	5	0	13	0.848	1.0	0.918	0.783
OH	1e-20	28	5	0	13	0.848	1.0	0.918	0.783
