phylum	genomes
Actinomycetota	1510
Pseudomonadota	801
Myxococcota_A	586
Chloroflexota	525
Bacteroidota	514
Myxococcota	204
Gemmatimonadota	167
Cyanobacteriota	161
Desulfobacterota	119
Vulcanimicrobiota	69
Planctomycetota	67
Acidobacteriota	66
Spirochaetota	47
Deinococcota	42
Bacillota	37
Hydrogenedentota	37
Verrucomicrobiota	26
Thermoplasmatota	23
Fidelibacterota	21
Bdellovibrionota	12
Bdellovibrionota_B	10
Bacillota_I	9
Nitrospirota	9
Muiribacteriota	7
Nanobdellota	7
Omnitrophota	6
Fibrobacterota	6
Latescibacterota	6
Myxococcota_C	5
Patescibacteriota	5
Lernaellota	5
Bipolaricaulota	5
Altiarchaeota	4
UBA10199	4
Armatimonadota	4
Halobacteriota	3
Zhuqueibacterota	3
Margulisbacteria	2
Aenigmatarchaeota	2
4484-113	2
Micrarchaeota	2
JAGRBM01	2
JAUYMQ01	2
UBP6	2
Methanobacteriota_B	2
Fermentibacterota	2
JADJOY01	2
Desantisbacteria	1
Caldisericota	1
Cloacimonadota	1
SAR324	1
Eisenbacteria	1
Thermosulfidibacterota	1
Tectomicrobia	1
Campylobacterota	1
Elusimicrobiota	1
J088	1
RBG-13-66-14	1
JAUVQV01	1
EX4484-52	1
Hydrothermota	1
Calditrichota	1
GCA-2686955	1
Oederibacteriota	1
Iainarchaeota	1
