phylum	genomes
Actinomycetota	5081
Pseudomonadota	4755
Bacteroidota	2827
Planctomycetota	646
Chloroflexota	453
Acidobacteriota	401
Bdellovibrionota	337
Desulfobacterota	261
Myxococcota_A	240
Gemmatimonadota	230
Bacillota	200
Cyanobacteriota	167
Verrucomicrobiota	151
Fibrobacterota	143
Myxococcota	119
Spirochaetota	65
Omnitrophota	62
Methylomirabilota	46
Fidelibacterota	38
Vulcanimicrobiota	33
Elusimicrobiota	30
Deinococcota	30
Muiribacteriota	23
Hydrothermota	18
Zhuqueibacterota	16
Sysuimicrobiota	15
Hydrogenedentota	15
Nitrospirota	14
Armatimonadota	12
Oederibacteriota	11
Patescibacteriota	11
Calditrichota	9
Ratteibacteria	8
JADJOY01	7
Lernaellota	7
Bdellovibrionota_B	6
Caldisericota	5
Bdellovibrionota_C	5
Thermoplasmatota	4
Krumholzibacteriota	4
Bacillota_I	3
Thermoproteota	3
Cloacimonadota	3
Bipolaricaulota	3
Thermotogota	2
CG2-30-53-67	2
RBG-13-61-14	2
JAGRBM01	2
4572-55	1
CSSED10-310	1
Poribacteria	1
BMS3Abin14	1
JAJVIF01	1
AUK180	1
Chrysiogenota	1
UBP7	1
Korarchaeota	1
UBA9089	1
T1Sed10-126	1
Myxococcota_C	1
Eisenbacteria	1
Edwardsbacteria	1
Electryoneota	1
UBA8481	1
Nanobdellota	1
RBG-13-66-14	1
Sumerlaeota	1
Latescibacterota	1
