phylum	genomes
Actinomycetota	6620
Pseudomonadota	5579
Bacteroidota	3342
Chloroflexota	982
Myxococcota_A	830
Planctomycetota	717
Acidobacteriota	473
Gemmatimonadota	400
Desulfobacterota	383
Bdellovibrionota	349
Cyanobacteriota	328
Myxococcota	324
Bacillota	238
Verrucomicrobiota	178
Fibrobacterota	149
Spirochaetota	112
Vulcanimicrobiota	103
Deinococcota	73
Omnitrophota	68
Halobacteriota	60
Fidelibacterota	59
Hydrogenedentota	53
Methylomirabilota	47
Elusimicrobiota	31
Muiribacteriota	30
Thermoplasmatota	27
Nitrospirota	23
Zhuqueibacterota	19
Hydrothermota	19
Patescibacteriota	16
Bdellovibrionota_B	16
Armatimonadota	16
Sysuimicrobiota	15
Oederibacteriota	12
Bacillota_I	12
Lernaellota	12
Calditrichota	10
JADJOY01	9
Ratteibacteria	8
Nanobdellota	8
Bipolaricaulota	8
Latescibacterota	7
Caldisericota	6
Myxococcota_C	6
Bdellovibrionota_C	5
Altiarchaeota	4
Krumholzibacteriota	4
Cloacimonadota	4
JAGRBM01	4
UBA10199	4
Thermoproteota	3
Thermotogota	2
Margulisbacteria	2
Aenigmatarchaeota	2
4484-113	2
Eisenbacteria	2
Micrarchaeota	2
JAUYMQ01	2
UBP6	2
Methanobacteriota_B	2
RBG-13-66-14	2
CG2-30-53-67	2
RBG-13-61-14	2
Fermentibacterota	2
Desantisbacteria	1
4572-55	1
CSSED10-310	1
Poribacteria	1
SAR324	1
BMS3Abin14	1
JAJVIF01	1
Thermosulfidibacterota	1
Tectomicrobia	1
Campylobacterota	1
AUK180	1
Chrysiogenota	1
UBP7	1
Korarchaeota	1
UBA9089	1
J088	1
T1Sed10-126	1
JAUVQV01	1
Edwardsbacteria	1
Electryoneota	1
EX4484-52	1
GCA-2686955	1
UBA8481	1
Iainarchaeota	1
Sumerlaeota	1
