family	ecosystem_cat	genomes
ArchPhaZ_hydrolase	activated-sludge/bioreactor	1527
ArchPhaZ_hydrolase	biofilm/misc	366
ArchPhaZ_hydrolase	extreme	261
ArchPhaZ_hydrolase	freshwater	3349
ArchPhaZ_hydrolase	gut/host	1014
ArchPhaZ_hydrolase	marine	2655
ArchPhaZ_hydrolase	other	3690
ArchPhaZ_hydrolase	plant-associated	797
ArchPhaZ_hydrolase	soil	5530
ArchPhaZ_hydrolase	unknown	34260
ArchPhaZ_patatin	activated-sludge/bioreactor	3271
ArchPhaZ_patatin	biofilm/misc	1079
ArchPhaZ_patatin	extreme	609
ArchPhaZ_patatin	freshwater	7554
ArchPhaZ_patatin	gut/host	16129
ArchPhaZ_patatin	marine	6224
ArchPhaZ_patatin	other	12755
ArchPhaZ_patatin	plant-associated	1944
ArchPhaZ_patatin	soil	13062
ArchPhaZ_patatin	unknown	73538
BdhA	activated-sludge/bioreactor	4134
BdhA	biofilm/misc	1515
BdhA	extreme	825
BdhA	freshwater	11428
BdhA	gut/host	22540
BdhA	marine	11174
BdhA	other	17413
BdhA	plant-associated	2331
BdhA	soil	16481
BdhA	unknown	104874
OH	activated-sludge/bioreactor	187
OH	biofilm/misc	51
OH	extreme	22
OH	freshwater	267
OH	gut/host	123
OH	marine	142
OH	other	451
OH	plant-associated	162
OH	soil	1200
OH	unknown	4355
PhaC	activated-sludge/bioreactor	1163
PhaC	biofilm/misc	272
PhaC	extreme	145
PhaC	freshwater	2987
PhaC	gut/host	743
PhaC	marine	2279
PhaC	other	3000
PhaC	plant-associated	946
PhaC	soil	4711
PhaC	unknown	24462
PhaJ	activated-sludge/bioreactor	3302
PhaJ	biofilm/misc	1130
PhaJ	extreme	634
PhaJ	freshwater	9088
PhaJ	gut/host	7860
PhaJ	marine	9832
PhaJ	other	11440
PhaJ	plant-associated	2159
PhaJ	soil	14133
PhaJ	unknown	81705
ePhaZ	activated-sludge/bioreactor	3300
ePhaZ	biofilm/misc	1027
ePhaZ	extreme	546
ePhaZ	freshwater	8153
ePhaZ	gut/host	11679
ePhaZ	marine	8089
ePhaZ	other	10780
ePhaZ	plant-associated	2068
ePhaZ	soil	13195
ePhaZ	unknown	76435
iPhaZ	activated-sludge/bioreactor	1060
iPhaZ	biofilm/misc	258
iPhaZ	extreme	118
iPhaZ	freshwater	2700
iPhaZ	gut/host	657
iPhaZ	marine	1830
iPhaZ	other	2737
iPhaZ	plant-associated	930
iPhaZ	soil	4393
iPhaZ	unknown	22298
phasin	activated-sludge/bioreactor	851
phasin	biofilm/misc	183
phasin	extreme	97
phasin	freshwater	2341
phasin	gut/host	501
phasin	marine	1467
phasin	other	2066
phasin	plant-associated	702
phasin	soil	3096
phasin	unknown	15109
