phylum	family	genomes
2-12-FULL-45-22	ArchPhaZ_hydrolase	1
2-12-FULL-45-22	ArchPhaZ_patatin	1
2-12-FULL-45-22	BdhA	2
2-12-FULL-45-22	PhaJ	2
2-12-FULL-45-22	ePhaZ	1
4484-113	ArchPhaZ_hydrolase	24
4484-113	ArchPhaZ_patatin	11
4484-113	BdhA	24
4484-113	PhaJ	23
4484-113	ePhaZ	23
4484-113	iPhaZ	1
4572-55	ArchPhaZ_hydrolase	3
4572-55	ArchPhaZ_patatin	3
4572-55	BdhA	3
4572-55	PhaJ	3
4572-55	ePhaZ	3
4572-55	iPhaZ	1
AGJL01	ArchPhaZ_hydrolase	18
AGJL01	BdhA	6
ARS69	ArchPhaZ_hydrolase	10
ARS69	ArchPhaZ_patatin	11
ARS69	BdhA	12
ARS69	PhaC	1
ARS69	PhaJ	12
ARS69	ePhaZ	12
AUK180	ArchPhaZ_hydrolase	3
AUK180	ArchPhaZ_patatin	9
AUK180	BdhA	9
AUK180	ePhaZ	4
Abyssobacteria	ArchPhaZ_hydrolase	9
Abyssobacteria	ArchPhaZ_patatin	11
Abyssobacteria	BdhA	11
Abyssobacteria	PhaJ	11
Abyssobacteria	ePhaZ	10
Abyssobacteria	iPhaZ	1
Acidobacteriota	ArchPhaZ_hydrolase	3153
Acidobacteriota	ArchPhaZ_patatin	6156
Acidobacteriota	BdhA	7453
Acidobacteriota	OH	100
Acidobacteriota	PhaC	239
Acidobacteriota	PhaJ	7169
Acidobacteriota	ePhaZ	7321
Acidobacteriota	iPhaZ	494
Acidobacteriota	phasin	56
Actinomycetota	ArchPhaZ_hydrolase	9887
Actinomycetota	ArchPhaZ_patatin	17911
Actinomycetota	BdhA	24936
Actinomycetota	OH	2198
Actinomycetota	PhaC	5090
Actinomycetota	PhaJ	22674
Actinomycetota	ePhaZ	20556
Actinomycetota	iPhaZ	4542
Actinomycetota	phasin	47
Aenigmatarchaeota	ArchPhaZ_hydrolase	84
Aenigmatarchaeota	ArchPhaZ_patatin	24
Aenigmatarchaeota	BdhA	192
Aenigmatarchaeota	PhaJ	14
Aenigmatarchaeota	ePhaZ	17
Aerophobota	ArchPhaZ_hydrolase	7
Aerophobota	ArchPhaZ_patatin	10
Aerophobota	BdhA	31
Aerophobota	PhaJ	2
Aerophobota	ePhaZ	1
Altiarchaeota	ArchPhaZ_hydrolase	27
Altiarchaeota	ArchPhaZ_patatin	2
Altiarchaeota	BdhA	34
Altiarchaeota	PhaJ	1
Altiarchaeota	ePhaZ	11
Aquificota	ArchPhaZ_hydrolase	9
Aquificota	ArchPhaZ_patatin	154
Aquificota	BdhA	175
Aquificota	PhaJ	43
Aquificota	ePhaZ	7
Arandabacterota	ArchPhaZ_hydrolase	12
Arandabacterota	ArchPhaZ_patatin	2
Arandabacterota	BdhA	18
Arandabacterota	PhaJ	18
Arandabacterota	ePhaZ	15
Armatimonadota	ArchPhaZ_hydrolase	110
Armatimonadota	ArchPhaZ_patatin	122
Armatimonadota	BdhA	638
Armatimonadota	OH	5
Armatimonadota	PhaC	4
Armatimonadota	PhaJ	298
Armatimonadota	ePhaZ	612
Armatimonadota	iPhaZ	1
Armatimonadota	phasin	1
Asgardarchaeota	ArchPhaZ_hydrolase	92
Asgardarchaeota	ArchPhaZ_patatin	52
Asgardarchaeota	BdhA	385
Asgardarchaeota	PhaJ	369
Asgardarchaeota	ePhaZ	94
Asgardarchaeota	iPhaZ	8
Atribacterota	ArchPhaZ_hydrolase	28
Atribacterota	ArchPhaZ_patatin	50
Atribacterota	BdhA	86
Atribacterota	PhaJ	13
Atribacterota	ePhaZ	9
Auribacterota	ArchPhaZ_hydrolase	29
