phylum	genome
Pseudomonadota	46740
Bacillota	27145
Actinomycetota	24957
Bacteroidota	23868
Patescibacteriota	8458
Acidobacteriota	7453
Chloroflexota	6829
Planctomycetota	4995
Verrucomicrobiota	4822
Desulfobacterota	4548
Bacillota_I	3437
Cyanobacteriota	3330
Thermoproteota	2209
Gemmatimonadota	2020
Spirochaetota	1968
Halobacteriota	1823
Myxococcota_A	1658
Thermoplasmatota	1596
Campylobacterota	1515
Nanobdellota	1443
Nitrospirota	1106
Omnitrophota	1028
Bdellovibrionota	851
Armatimonadota	638
Chlamydiota	559
Elusimicrobiota	531
Myxococcota	485
Vulcanimicrobiota	454
Fidelibacterota	425
Asgardarchaeota	396
Deinococcota	367
Micrarchaeota	358
Fibrobacterota	296
Zixibacteria	285
Methanobacteriota	276
Hydrothermota	272
Synergistota	268
Methylomirabilota	251
Aenigmatarchaeota	249
Cloacimonadota	232
Krumholzibacteriota	208
Eisenbacteria	206
Fusobacteriota	194
Bipolaricaulota	184
Aquificota	176
Poribacteria	176
Latescibacterota	168
Zhuqueibacterota	167
Babelota	155
Thermotogota	151
Iainarchaeota	149
Margulisbacteria	146
Hydrogenedentota	135
Bdellovibrionota_B	131
Methanobacteriota_B	131
Bdellovibrionota_C	124
Nitrospinota	120
Desulfobacterota_D	120
Oederibacteriota	99
Sysuimicrobiota	94
Caldisericota	93
UBA10199	93
SAR324	88
Muiribacteriota	87
Atribacterota	86
Calditrichota	86
Auribacterota	79
Electryoneota	79
Sumerlaeota	75
Fermentibacterota	70
Nanohalarchaeota	69
Chrysiogenota	68
Ratteibacteria	65
Hadarchaeota	60
Altiarchaeota	52
UBA8248	51
Korarchaeota	42
UBP6	39
Campylobacterota_A	37
SZUA-79	37
Hinthialibacterota	35
Nitrospinota_A	33
JAAXHH01	33
Aerophobota	31
Joyebacterota	31
EX4484-52	28
Hydrothermarchaeota	26
UBP14	26
CG03	26
UBA9089	25
RBG-13-66-14	25
B1Sed10-29	24
4484-113	24
AGJL01	22
CLD3	20
SZUA-182	20
Edwardsbacteria	19
Thermosulfidibacterota	19
Arandabacterota	18
Tectomicrobia	17
Bdellovibrionota_G	17
Lernaellota	17
BMS3Abin14	16
UBA4055	16
Undinarchaeota	16
JAJVIF01	14
CSSED10-310	14
CG2-30-53-67	14
RBG-13-61-14	13
UBP15	13
JAMCPX01	13
NPL-UPA2	13
Coprothermobacterota	13
UBA6262	12
SM23-31	12
ARS69	12
T1Sed10-126	12
CAIWAD01	12
Abyssobacteria	11
Dictyoglomota	11
DRYD01	11
Orphanbacterota	10
Macinerneyibacteriota	10
Blakebacterota	10
JAHJDO01	9
Moduliflexota	9
CAYTYR01	9
CAIJMQ01	9
AUK180	9
UBP7	8
SpSt-1190	8
Calescibacteriota	7
SM23-81	7
DUMJ01	7
B130-G9	7
RUG730	7
CALINM01	6
SDB-A	6
Myxococcota_C	6
JACRDZ01	6
UBP18	6
DYJV01	6
JADJOY01	6
JAGRBM01	6
JAUVQV01	6
UBP4	5
GCA-2686955	5
CAYQAE01	5
J088	5
Schekmanbacteria	5
UBA8481	5
JAGOBX01	4
Thermodesulfobiota	4
Lindowbacteria	4
CBDUZB01	4
Bdellovibrionota_F	4
JAGOEH01	3
JAUYMQ01	3
GCA-001730085	3
4572-55	3
CAZDME01	3
JAFGKV01	3
JADFOP01	3
UBP13	3
JBHIER01	2
JALSQH01	2
UBA2233	2
JACPSX01	2
JACPQY01	2
Desantisbacteria	2
DAOPZR01	2
CAYFZR01	2
CAYMEV01	2
DASVDK01	2
2-12-FULL-45-22	2
JAUXIQ01	2
CAYUVA01	1
BS750m-G25	1
CAZSTA01	1
CAYSBA01	1
CAZTWC01	1
CAYJOG01	1
CAYJRR01	1
LJUI01	1
JBBIVP01	1
JBFMHD01	1
JBDRGX01	1
JAEEML01	1
JACPUC01	1
JACQOV01	1
JACRDV01	1
JAFGND01	1
JAJRZV01	1
JAMORN01	1
JAMOTN01	1
