phylum	family	genomes
Pseudomonadota	ArchPhaZ_patatin	27580
Pseudomonadota	iPhaZ	23532
Bacillota	ArchPhaZ_patatin	13431
Pseudomonadota	ePhaZ	11940
Bacteroidota	ArchPhaZ_patatin	10681
Actinomycetota	ArchPhaZ_patatin	8823
Actinomycetota	ePhaZ	5628
Bacteroidota	ePhaZ	3040
Acidobacteriota	ArchPhaZ_patatin	2670
Chloroflexota	ArchPhaZ_patatin	1804
Actinomycetota	iPhaZ	1669
Bacillota_I	ArchPhaZ_patatin	1592
Pseudomonadota	OH	1373
Myxococcota_A	ArchPhaZ_patatin	1322
Chloroflexota	ePhaZ	1134
Gemmatimonadota	ArchPhaZ_patatin	1058
Desulfobacterota	ArchPhaZ_patatin	1017
Spirochaetota	ArchPhaZ_patatin	815
Acidobacteriota	ePhaZ	794
Planctomycetota	ePhaZ	771
Myxococcota_A	ePhaZ	619
Gemmatimonadota	ePhaZ	539
Bdellovibrionota	ArchPhaZ_patatin	511
Verrucomicrobiota	ArchPhaZ_patatin	444
Desulfobacterota	ePhaZ	429
Patescibacteriota	ArchPhaZ_patatin	405
Pseudomonadota	ArchPhaZ_hydrolase	402
Planctomycetota	ArchPhaZ_patatin	400
Cyanobacteriota	ArchPhaZ_patatin	380
Bacillota	ePhaZ	379
Myxococcota	ArchPhaZ_patatin	379
Thermoproteota	ArchPhaZ_patatin	339
Halobacteriota	ArchPhaZ_patatin	335
Cyanobacteriota	ePhaZ	303
Bdellovibrionota	ePhaZ	287
Verrucomicrobiota	ePhaZ	227
Fidelibacterota	ArchPhaZ_patatin	223
Nitrospirota	ArchPhaZ_patatin	211
Actinomycetota	ArchPhaZ_hydrolase	206
Myxococcota	ePhaZ	198
Deinococcota	ArchPhaZ_patatin	183
Myxococcota_A	iPhaZ	181
Campylobacterota	ArchPhaZ_patatin	165
Fibrobacterota	ArchPhaZ_patatin	163
Nanobdellota	ArchPhaZ_patatin	158
Desulfobacterota	iPhaZ	151
Bacteroidota	ArchPhaZ_hydrolase	148
Omnitrophota	ArchPhaZ_patatin	146
Vulcanimicrobiota	ePhaZ	138
Elusimicrobiota	ArchPhaZ_patatin	129
Thermoplasmatota	ArchPhaZ_hydrolase	126
Vulcanimicrobiota	ArchPhaZ_patatin	124
Fusobacteriota	ArchPhaZ_patatin	112
Methylomirabilota	ArchPhaZ_patatin	112
Spirochaetota	ePhaZ	103
Fibrobacterota	ePhaZ	102
Bdellovibrionota_C	ArchPhaZ_patatin	100
Eisenbacteria	ArchPhaZ_patatin	98
Aquificota	ArchPhaZ_patatin	98
Zhuqueibacterota	ArchPhaZ_patatin	92
Omnitrophota	ePhaZ	77
Thermotogota	ArchPhaZ_patatin	74
Patescibacteriota	ePhaZ	72
Hydrothermota	ArchPhaZ_patatin	72
Deinococcota	ePhaZ	70
Margulisbacteria	ArchPhaZ_patatin	69
Vulcanimicrobiota	iPhaZ	68
Chlamydiota	ArchPhaZ_patatin	67
Halobacteriota	ePhaZ	63
Fidelibacterota	ePhaZ	61
UBA10199	ArchPhaZ_patatin	61
Krumholzibacteriota	ArchPhaZ_patatin	59
Hydrogenedentota	ePhaZ	58
Bipolaricaulota	ArchPhaZ_patatin	58
Calditrichota	ArchPhaZ_patatin	57
Chloroflexota	iPhaZ	56
Thermoplasmatota	ArchPhaZ_patatin	55
Bacillota	iPhaZ	54
Acidobacteriota	ArchPhaZ_hydrolase	54
Methylomirabilota	ePhaZ	53
Oederibacteriota	ArchPhaZ_patatin	49
Halobacteriota	ArchPhaZ_hydrolase	46
Bdellovibrionota_B	ArchPhaZ_patatin	46
Myxococcota	iPhaZ	44
Zixibacteria	ArchPhaZ_patatin	44
Synergistota	ArchPhaZ_patatin	42
Atribacterota	ArchPhaZ_patatin	40
SAR324	ArchPhaZ_patatin	38
Thermoplasmatota	ePhaZ	35
Nitrospirota	ePhaZ	35
Caldisericota	ArchPhaZ_patatin	35
Elusimicrobiota	ePhaZ	34
Muiribacteriota	ePhaZ	29
Acidobacteriota	iPhaZ	28
Planctomycetota	ArchPhaZ_hydrolase	28
Desulfobacterota	OH	27
Desulfobacterota_D	ArchPhaZ_patatin	27
Hydrothermota	ePhaZ	26
Actinomycetota	OH	26
Patescibacteriota	ArchPhaZ_hydrolase	25
Bipolaricaulota	ArchPhaZ_hydrolase	24
Armatimonadota	ePhaZ	23
Chloroflexota	ArchPhaZ_hydrolase	23
Methanobacteriota	ArchPhaZ_patatin	23
Sysuimicrobiota	ePhaZ	21
Bacillota_I	ePhaZ	21
Desulfobacterota	ArchPhaZ_hydrolase	21
Gemmatimonadota	ArchPhaZ_hydrolase	20
Zhuqueibacterota	ePhaZ	19
Patescibacteriota	iPhaZ	19
Asgardarchaeota	ArchPhaZ_patatin	19
Bacteroidota	iPhaZ	18
Electryoneota	ArchPhaZ_patatin	18
Thermoproteota	ePhaZ	17
Bdellovibrionota_B	ePhaZ	17
UBP6	ArchPhaZ_patatin	16
Nanobdellota	ePhaZ	14
Bdellovibrionota_G	ArchPhaZ_patatin	14
Oederibacteriota	ePhaZ	13
Thermoproteota	ArchPhaZ_hydrolase	13
Edwardsbacteria	ArchPhaZ_patatin	13
Ratteibacteria	ArchPhaZ_patatin	13
CG03	ArchPhaZ_patatin	13
Fermentibacterota	ArchPhaZ_patatin	13
Cloacimonadota	ArchPhaZ_patatin	13
Lernaellota	ePhaZ	12
Methanobacteriota_B	ePhaZ	12
Myxococcota_A	ArchPhaZ_hydrolase	12
UBP14	ArchPhaZ_patatin	12
BMS3Abin14	ArchPhaZ_patatin	12
Calditrichota	ePhaZ	11
Vulcanimicrobiota	ArchPhaZ_hydrolase	11
JAMCPX01	ArchPhaZ_patatin	11
Ratteibacteria	ePhaZ	10
Macinerneyibacteriota	ArchPhaZ_patatin	10
Chrysiogenota	ArchPhaZ_patatin	10
Zhuqueibacterota	ArchPhaZ_hydrolase	9
CAYTYR01	ArchPhaZ_patatin	9
Nitrospinota_A	ArchPhaZ_patatin	9
Armatimonadota	ArchPhaZ_patatin	9
Aerophobota	ArchPhaZ_patatin	9
Bipolaricaulota	ePhaZ	8
Latescibacterota	ePhaZ	8
Myxococcota	ArchPhaZ_hydrolase	8
Lernaellota	ArchPhaZ_patatin	8
Caldisericota	ePhaZ	7
Desulfobacterota_D	iPhaZ	7
Myxococcota	OH	7
Calescibacteriota	ArchPhaZ_patatin	7
Moduliflexota	ArchPhaZ_patatin	7
JAHJDO01	ArchPhaZ_patatin	7
SZUA-182	ArchPhaZ_patatin	7
Asgardarchaeota	ePhaZ	6
JADJOY01	ePhaZ	6
Verrucomicrobiota	ArchPhaZ_hydrolase	6
Abyssobacteria	ArchPhaZ_patatin	6
Muiribacteriota	ArchPhaZ_patatin	6
JADJOY01	ArchPhaZ_patatin	6
JAGRBM01	ArchPhaZ_patatin	6
Altiarchaeota	ePhaZ	5
Myxococcota_C	ePhaZ	5
