genome	contig	hit_locus	hit_family	start	end	strand	nearby_markers
GCA_000416085.1	KE356579.1	KE356579.1_2497	ArchPhaZ_patatin	2588211	2589176	-	BdhA
GCA_001563805.1	LKMK01000034.1	LKMK01000034.1_2	ArchPhaZ_patatin	305	1282	+	
GCA_001564115.1	LKNG01000044.1	LKNG01000044.1_7	ArchPhaZ_patatin	7458	8444	-	BdhA
GCA_001564135.1	LKNH01000002.1	LKNH01000002.1_26	ArchPhaZ_patatin	24870	25832	-	BdhA
GCA_001564255.1	LKNC01000009.1	LKNC01000009.1_10	ArchPhaZ_patatin	10331	11305	-	
GCA_001917995.1	MNFB01000004.1	MNFB01000004.1_20	ArchPhaZ_patatin	14926	16020	+	
GCA_002494895.1	DADA01000032.1	DADA01000032.1_1	ArchPhaZ_patatin	1	909	-	
GCA_002501845.1	DAOL01000023.1	DAOL01000023.1_6	ArchPhaZ_patatin	4559	5719	+	
GCA_003021015.1	PXRK01000048.1	PXRK01000048.1_11	ArchPhaZ_patatin	11203	12243	-	
GCA_003021045.1	PXRN01000005.1	PXRN01000005.1_48	ArchPhaZ_patatin	47166	48128	-	BdhA
GCA_003021175.1	PXQV01000015.1	PXQV01000015.1_61	ArchPhaZ_patatin	56363	57352	-	PhaC;PhaE
GCA_003021305.1	PXQN01000092.1	PXQN01000092.1_8	ArchPhaZ_patatin	6577	7374	+	
GCA_003021655.1	PXRP01000001.1	PXRP01000001.1_36	ArchPhaZ_patatin	36439	37248	-	BdhA
GCA_003021705.1	PXRJ01000053.1	PXRJ01000053.1_8	ArchPhaZ_patatin	6286	7347	+	
GCA_003021975.1	PXRR01000009.1	PXRR01000009.1_25	ArchPhaZ_patatin	24991	25968	-	
GCA_003022845.1	PXSF01000149.1	PXSF01000149.1_1	ArchPhaZ_patatin	239	1279	+	
GCA_003022925.1	PXRY01000081.1	PXRY01000081.1_53	ArchPhaZ_patatin	51579	52442	+	
GCA_003023185.1	PXSB01000002.1	PXSB01000002.1_14	ArchPhaZ_patatin	11037	12005	+	PhaC;PhaE
GCA_003176995.1	QHBN01000023.1	QHBN01000023.1_5	ArchPhaZ_patatin	3820	4998	+	BdhA
GCA_003176995.1	QHBN01000029.1	QHBN01000029.1_4	ArchPhaZ_patatin	2025	3251	+	
GCA_003176995.1	QHBN01000037.1	QHBN01000037.1_17	ArchPhaZ_patatin	10406	11347	+	
GCA_003176995.1	QHBN01000134.1	QHBN01000134.1_4	ArchPhaZ_patatin	4613	5794	+	
GCA_003176995.1	QHBN01000157.1	QHBN01000157.1_1	ArchPhaZ_patatin	847	1650	+	
GCA_003176995.1	QHBN01000205.1	QHBN01000205.1_12	ArchPhaZ_patatin	8578	9738	-	
GCA_003176995.1	QHBN01000237.1	QHBN01000237.1_2	ArchPhaZ_patatin	1576	2313	+	
