family	accession	is_positive	E_value	cov
ePhaZ	A0A3Q9BTL6	True	9.10e-110	0.988
ePhaZ	P12625	True	1.50e-105	0.977
ePhaZ	A0ABY9RN41	True	1.70e-105	0.986
ePhaZ	A0ABY7N197	True	7.40e-101	0.988
ePhaZ	A0ABT5L4W6	True	3.40e-94	0.988
ePhaZ	A0ABT7T1G3	True	3.80e-94	0.988
ePhaZ	A0A3N5XWX8	True	1.90e-92	0.988
ePhaZ	O05527	True	5.10e-66	0.418
ePhaZ	B2NHN2	True	4.20e-59	0.407
ePhaZ	Q51718	True	8.90e-38	0.631
iPhaZ	A0ACG4YIS0	True	9.30e-177	0.962
iPhaZ	A0ACG4YFY4	True	1.30e-173	0.943
iPhaZ	A0A0P0EZS7	True	2.20e-169	0.943
iPhaZ	A0ACG4Z1I4	True	2.80e-164	0.943
iPhaZ	A0ACG4YH57	True	1.80e-163	0.946
iPhaZ	A0ACG4YVA5	True	5.00e-163	0.972
iPhaZ	A0ACG4YGC5	True	3.70e-155	0.943
iPhaZ	A0ACG4YSM7	True	1.70e-153	0.950
iPhaZ	Q71KW6	True	4.50e-152	0.816
iPhaZ	A0ACG4YRR8	True	2.30e-132	0.922
iPhaZ	Q7WXF6	True	2.70e-95	0.507
iPhaZ	Q5Y152	True	1.40e-57	0.731
iPhaZ	Q9R9W3	True	5.80e-55	0.729
iPhaZ	A0ABM7EMK2	True	9.30e-55	0.729
iPhaZ	A0ACG4Z051	True	1.00e-54	0.679
iPhaZ	A0A0B4L3Q2	True	5.80e-43	0.583
iPhaZ	A0A0B4L3C7	True	2.00e-42	0.587
OH	A0K516	True	0.00e+00	0.993
OH	Q1BYN6	True	0.00e+00	0.993
OH	Q39J35	True	0.00e+00	0.991
OH	Q0BHU5	True	0.00e+00	0.994
OH	A4JBY8	True	0.00e+00	0.993
OH	Q46ZT8	True	0.00e+00	0.996
OH	Q2SYN3	True	0.00e+00	0.994
OH	A3NCT8	True	0.00e+00	0.994
OH	Q3JPD1	True	0.00e+00	0.994
OH	Q63RF6	True	0.00e+00	0.994
OH	A3NYK1	True	0.00e+00	0.994
OH	Q62I60	True	0.00e+00	0.994
OH	A1VUF3	True	0.00e+00	0.996
OH	A2S9Q3	True	0.00e+00	0.994
OH	A3MME1	True	0.00e+00	0.994
OH	A1V1X3	True	0.00e+00	0.994
OH	O05690	True	0.00e+00	0.994
OH	Q0K9H3	True	0.00e+00	0.996
OH	Q8XZR1	True	0.00e+00	0.986
OH	Q21U20	True	0.00e+00	0.997
OH	Q9X6X9	True	0.00e+00	0.996
OH	Q122D1	True	0.00e+00	0.990
OH	A1TRI4	True	0.00e+00	0.994
OH	Q13Q76	True	0.00e+00	0.993
OH	Q1LLY7	True	0.00e+00	0.996
OH	A1KBP4	True	0.00e+00	0.991
OH	A1TWS1	True	7.90e-288	0.996
OH	P07061	False	1.00e-74	0.314
OH	P07062	False	7.90e-73	0.314
OH	Q79F77	False	4.40e-53	0.530
OH	Q1EPR5	False	5.50e-52	0.530
OH	Q1EPR4	False	3.70e-49	0.530
OH	Q4W8C9	True	7.60e-38	0.203
