accession	type	length
GCA_000018565.1|CP000875.1_2927	SP	545
GCA_000173115.1|ABVW01000001.1_73	LIPO	292
GCA_000195205.2|AEPR01000797.1_1	LIPO	252
GCA_000230935.2|AGIQ01000002.1_1539	LIPO	278
GCA_000230935.2|AGIQ01000001.1_1425	SP	286
GCA_000242815.2|AHHB01000011.1_95	SP	376
GCA_000335715.1|AMYZ01000008.1_85	SP	334
GCA_000340945.1|ANAW01000014.1_30	SP	415
GCA_000340945.1|ANAW01000292.1_14	SP	437
GCA_000381565.1|KB906724.1_1665	SP	499
GCA_000383355.1|KB911168.1_66	LIPO	297
GCA_000383715.1|KB911840.1_50	SP	291
GCA_000385055.1|ARRL01000006.1_36	LIPO	322
GCA_000432515.1|HF996039.1_5	SP	303
GCA_000434935.1|FR882173.1_7	SP	296
GCA_000435075.1|FR890620.1_15	SP	305
GCA_000470535.1|CBRG010000295.1_12	SP	492
GCA_000497405.1|KI547049.1_137	SP	531
GCA_000585015.1|JFAX01000002.1_222	SP	463
GCA_000585075.1|JEMY01000033.1_74	SP	367
GCA_000585075.1|JEMY01000038.1_30	SP	462
GCA_000632805.1|CP007444.1_2417	SP	340
GCA_000632805.1|CP007444.1_4104	SP	261
GCA_000715855.1|KL571366.1_27	SP	518
GCA_000717735.1|JOBE01000036.1_78	SP	448
GCA_000719105.1|JODX01000007.1_132	SP	462
GCA_000720375.1|JOAA01000020.1_159	SP	281
GCA_000721375.1|JOGW01000010.1_154	SP	337
GCA_000721375.1|JOGW01000012.1_403	SP	430
GCA_000721375.1|JOGW01000026.1_68	SP	360
GCA_000721375.1|JOGW01000026.1_70	SP	342
GCA_000955875.1|JYOE01000010.1_29	SP	416
GCA_000961695.1|LADW01000052.1_8	LIPO	315
GCA_000961725.1|LADS01000002.1_1	SP	337
GCA_000961845.1|LADZ01000021.1_50	LIPO	322
GCA_000961845.1|LADZ01000007.1_33	SP	385
GCA_000964245.1|LANB01000001.1_652	SP	545
GCA_000974665.1|BBSY01000003.1_43	SP	574
GCA_000981645.1|LAQC01000005.1_21	SP	380
GCA_000981645.1|LAQC01000009.1_28	SP	621
GCA_000981645.1|LAQC01000009.1_29	SP	870
GCA_001274695.2|LARU01000002.1_1011	SP	504
GCA_001295865.1|LJHW01000023.1_45	SP	315
GCA_001295905.1|LJHT01000105.1_29	SP	331
GCA_001298555.1|LJCW01000142.1_17	LIPO	334
GCA_001303245.1|LJNS01000036.1_30	LIPO	332
GCA_001303585.1|LJTT01000032.1_28	SP	327
GCA_001303585.1|LJTT01000110.1_1	SP	300
GCA_001303585.1|LJTT01000139.1_2	LIPO	322
GCA_001312805.1|BBEO01000724.1_1	LIPO	375
GCA_001314875.1|LJZS01000002.1_174	SP	350
GCA_001429255.1|LMJI01000001.1_2073	SP	452
GCA_001464125.1|LNEP01000002.1_17	SP	333
GCA_001464235.1|LNFH01000242.1_10	SP	318
GCA_001464385.1|LNFB01000161.1_43	SP	435
GCA_001464495.1|LNDZ01000029.1_153	SP	350
GCA_001464715.1|LNDT01000027.1_2	SP	339
GCA_001507855.1|LGEN01000009.1_96	SP	366
GCA_001514065.1|KQ948423.1_953	SP	322
GCA_001552515.1|BCRI01000006.1_106	SP	434
GCA_001552515.1|BCRI01000045.1_40	SP	455
GCA_001552515.1|BCRI01000205.1_8	SP	343
GCA_001570385.1|BBYL01000024.1_1	SP	340
GCA_001570385.1|BBYL01000025.1_24	SP	445
GCA_001570385.1|BBYL01000029.1_24	SP	441
GCA_001595945.1|LSSI01000048.1_32	LIPO	319
GCA_001603075.1|LVBB01000125.1_37	SP	473
GCA_001603595.1|LUZK01000100.1_11	SP	381
GCA_001603905.1|LVAE01000030.1_36	SP	503
GCA_001643475.1|LXTK01000229.1_13	SP	334
GCA_001660395.1|LXWE01000002.1_122	SP	308
GCA_001665235.1|LZSC01000020.1_18	LIPO	306
GCA_001665255.1|LZSH01000560.1_8	LIPO	314
GCA_001665295.1|LZSE01000093.1_57	LIPO	279
GCA_001665295.1|LZSE01000097.1_125	LIPO	314
GCA_001701105.1|DAAI01000009.1_47	SP	678
GCA_001725155.1|MEFP01000010.1_26	SP	608
GCA_001725355.1|MEGD01000001.1_271	SP	324
GCA_001767915.1|MEMI01000037.1_9	SP	345
GCA_001768125.1|MENB01000058.1_2	SP	310
GCA_001768155.1|MENC01000273.1_5	SP	403
GCA_001768155.1|MENC01000299.1_9	SP	480
GCA_001768975.1|MEND01000249.1_30	SP	403
GCA_001769035.1|MENF01000201.1_48	SP	328
GCA_001769125.1|MEOG01000132.1_48	SP	414
GCA_001769195.1|MEOK01000007.1_34	SP	298
GCA_001769385.1|MEPB01000055.1_5	SP	492
GCA_001769385.1|MEPB01000094.1_11	SP	413
GCA_001769505.1|MEOF01000056.1_4	SP	481
GCA_001769535.1|MEOH01000001.1_199	SP	385
GCA_001770235.1|MEQN01000031.1_12	SP	316
GCA_001770705.1|MERT01000008.1_9	SP	337
GCA_001770725.1|MERU01000001.1_103	SP	336
GCA_001770775.1|MESA01000027.1_44	SP	342
GCA_001770855.1|MESE01000069.1_43	SP	406
GCA_001770855.1|MESE01000105.1_5	SP	284
GCA_001770935.1|MESI01000127.1_92	SP	348
GCA_001772005.1|MERI01000253.1_2	SP	325
GCA_001778355.1|MFGS01000048.1_5	SP	326
GCA_001778355.1|MFGS01000155.1_4	SP	415
GCA_001780275.1|MFGB01000014.1_48	SP	320
GCA_001780385.1|MFGW01000155.1_6	SP	330
GCA_001790315.1|MGCE01000031.1_3	SP	305
GCA_001791795.1|MGFH01000235.1_13	LIPO	317
GCA_001796045.1|MGLN01000046.1_6	SP	304
GCA_001796965.1|MGOA01000094.1_1	TAT	320
GCA_001798855.1|MGQQ01000057.1_19	SP	321
GCA_001799475.1|MGTN01000025.1_13	SP	513
GCA_001799695.1|MGTY01000029.1_7	SP	304
GCA_001799695.1|MGTY01000125.1_2	SP	303
GCA_001799715.1|MGTZ01000053.1_7	SP	316
GCA_001799735.1|MGUA01000003.1_6	SP	321
GCA_001799845.1|MGUG01000028.1_8	SP	318
GCA_001802125.1|MGZK01000129.1_28	SP	371
GCA_001803045.1|MHAR01000045.1_3	SP	632
GCA_001804885.1|MHBM01000210.1_4	SP	323
GCA_001805965.1|MHHG01000078.1_5	SP	351
GCA_001829155.1|MIAO01000011.1_13	LIPO	850
GCA_001829155.1|MIAO01000017.1_2	LIPO	346
GCA_001829455.1|MIBH01000023.1_128	SP	314
GCA_001830395.1|MHZN01000142.1_3	SP	286
GCA_001871015.1|MNUO01000051.1_8	LIPO	324
