genome	family	locus	copies	gtdb_taxonomy	phylum	class
GCA_001399795.1	ArchPhaZ_hydrolase	LIHK01000014.1_15	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__BA2;s__BA2 sp001399795	Thermoproteota	Bathyarchaeia
GCA_001595945.1	ArchPhaZ_hydrolase	LSSI01000076.1_33	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__SM1-50 sp001595945	Thermoplasmatota	E2
GCA_002495185.1	ArchPhaZ_hydrolase	DAEB01000010.1_2	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp002495185	Thermoplasmatota	Thermoplasmata
GCA_002495185.1	ArchPhaZ_hydrolase	DAEB01000022.1_1	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp002495185	Thermoplasmatota	Thermoplasmata
GCA_002499905.1	ArchPhaZ_hydrolase	DANP01000023.1_3	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp002499905	Halobacteriota	Methanomicrobia
GCA_002900535.1	ArchPhaZ_hydrolase	MUGC01000006.1_29	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__M9B1D;s__M9B1D sp002900535	Thermoplasmatota	E2
GCA_002900535.1	ArchPhaZ_hydrolase	MUGC01000065.1_3	2	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__M9B1D;s__M9B1D sp002900535	Thermoplasmatota	E2
GCA_002923215.1	ArchPhaZ_hydrolase	BDTI01000039.1_8	1	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp002923215	Hydrothermarchaeota	Hydrothermarchaeia
GCA_003021655.1	ArchPhaZ_hydrolase	PXRP01000001.1_22	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-4-69-31;s__QS-4-69-31 sp003021655	Halobacteriota	Halobacteria
GCA_003021685.1	ArchPhaZ_hydrolase	PXRO01000011.1_29	1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium sp003021685	Halobacteriota	Halobacteria
GCA_003230355.1	ArchPhaZ_hydrolase	QIDD01000021.1_5	1	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp003230355	Hydrothermarchaeota	Hydrothermarchaeia
GCA_003649715.1	ArchPhaZ_hydrolase	QMSS01000041.1_6	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__B82-G9;s__B82-G9 sp003649715	Thermoplasmatota	E2
GCA_003649845.1	ArchPhaZ_hydrolase	QMTB01000035.1_4	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__B44-G15;s__B44-G15 sp003649845	Thermoplasmatota	E2
GCA_003661965.1	ArchPhaZ_hydrolase	QMXD01000060.1_3	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Hecatellales;f__Hecatellaceae;g__EX4484-218;s__EX4484-218 sp003661965	Thermoproteota	Bathyarchaeia
GCA_004193545.1	ArchPhaZ_hydrolase	RPGO01000033.1_2	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__EX4572-44;g__Argoarchaeum;s__Argoarchaeum ethanivorans	Halobacteriota	Methanosarcinia
GCA_004524545.1	ArchPhaZ_hydrolase	SDNX01000079.1_5	1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__Promethearchaeaceae;g__AMARA-1;s__AMARA-1 sp004524545	Asgardarchaeota	Lokiarchaeia
GCA_005878325.1	ArchPhaZ_hydrolase	VBMR01000066.1_3	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005878325	Thermoplasmatota	Thermoplasmata
GCA_005878385.1	ArchPhaZ_hydrolase	VBMN01000070.1_2	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005878385	Thermoplasmatota	Thermoplasmata
GCA_005878635.1	ArchPhaZ_hydrolase	VBLS01000007.1_10	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005878635	Thermoplasmatota	Thermoplasmata
GCA_005879015.1	ArchPhaZ_hydrolase	VBMC01000218.1_2	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005879015	Thermoplasmatota	Thermoplasmata
GCA_005879065.1	ArchPhaZ_hydrolase	VBLU01000061.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp005879065	Thermoplasmatota	Thermoplasmata
GCA_011048835.1	ArchPhaZ_hydrolase	DSDF01000039.1_11	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__DSDF01;s__DSDF01 sp011048835	Halobacteriota	Methanomicrobia
GCA_011049045.1	ArchPhaZ_hydrolase	DSCO01000064.1_13	1	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__JACGMN01;s__JACGMN01 sp011049045	Halobacteriota	Syntropharchaeia
GCA_012961645.1	ArchPhaZ_hydrolase	DTYY01000013.1_6	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_D;s__Methanogaster_D sp012961645	Halobacteriota	Methanosarcinia
GCA_013290045.1	ArchPhaZ_hydrolase	JABCYU010000152.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp013290045	Thermoplasmatota	Thermoplasmata
GCA_013329855.1	ArchPhaZ_hydrolase	DUJI01000048.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp8695u	Thermoplasmatota	Thermoplasmata
GCA_014361295.1	ArchPhaZ_hydrolase	JACIVX010000037.1_2	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__JACIVX01;g__JACIVX01;s__JACIVX01 sp014361295	Thermoplasmatota	Thermoplasmata
GCA_014894395.1	ArchPhaZ_hydrolase	JADBLO010000025.1_17	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__SM1-50 sp014894395	Thermoplasmatota	E2
GCA_015520985.1	ArchPhaZ_hydrolase	WAOY01000078.1_5	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Aciduliprofundaceae;g__JAADDK01;s__JAADDK01 sp015520985	Thermoplasmatota	Thermoplasmata
GCA_016874675.1	ArchPhaZ_hydrolase	VGTL01000014.1_46	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__VGTL01;f__VGTL01;g__VGTL01;s__VGTL01 sp016874675	Thermoplasmatota	DTKX01
GCA_016874675.1	ArchPhaZ_hydrolase	VGTL01000018.1_21	2	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__VGTL01;f__VGTL01;g__VGTL01;s__VGTL01 sp016874675	Thermoplasmatota	DTKX01
