genome	patatin_copies
GCA_000013625.1	1
GCA_000016765.1	1
GCA_000017645.1	4
GCA_000023185.1	1
GCA_000026125.1	1
GCA_000152145.1	2
GCA_000155715.1	1
GCA_000158135.1	1
GCA_000161775.1	1
GCA_000169075.1	1
GCA_000169995.1	1
GCA_000171835.1	2
GCA_000173575.1	9
GCA_000195205.2	2
GCA_000198515.1	2
GCA_000209515.2	3
GCA_000230935.2	1
GCA_000242815.2	2
GCA_000244995.1	2
GCA_000245075.1	2
GCA_000318405.1	1
GCA_000332255.1	1
GCA_000333335.1	1
GCA_000335715.1	3
GCA_000335735.1	1
GCA_000378025.1	1
GCA_000381565.1	3
GCA_000416085.1	1
GCA_000418555.1	1
GCA_000471925.1	8
GCA_000496475.1	1
GCA_000497835.1	1
GCA_000502395.1	3
GCA_000503195.1	2
GCA_000504425.1	1
GCA_000517005.1	5
GCA_000585015.1	1
GCA_000585075.1	1
GCA_000620185.1	2
GCA_000620205.1	2
GCA_000632805.1	2
GCA_000648925.1	4
GCA_000681355.2	1
GCA_000685825.1	2
GCA_000695745.1	1
GCA_000720375.1	2
GCA_000733415.1	1
GCA_000733915.1	1
GCA_000743035.1	2
GCA_000746585.2	1
GCA_000751295.2	2
GCA_000751355.1	2
GCA_000755425.1	2
GCA_000775715.1	1
GCA_000783395.1	1
GCA_000799755.1	2
GCA_000824785.1	2
GCA_000824805.1	2
GCA_000824825.2	3
GCA_000824845.1	3
GCA_000828975.1	1
GCA_000831005.1	1
GCA_000940995.1	4
GCA_000955785.1	9
GCA_000961635.1	1
GCA_000961655.1	1
GCA_000961695.1	1
GCA_000961725.1	1
GCA_000967895.1	2
GCA_000974665.1	1
GCA_000987445.1	1
GCA_001015195.1	1
GCA_001023535.1	1
GCA_001045575.1	1
GCA_001048675.1	1
GCA_001184395.1	1
GCA_001184405.1	2
GCA_001189335.2	1
GCA_001189345.1	2
GCA_001192655.1	1
GCA_001263235.1	2
GCA_001274695.2	4
GCA_001281695.1	3
GCA_001295775.1	2
GCA_001295865.1	3
GCA_001295905.1	3
GCA_001295935.1	1
GCA_001296005.1	2
GCA_001299455.1	1
GCA_001303415.1	2
GCA_001303585.1	1
GCA_001310455.1	1
GCA_001312645.1	1
GCA_001314625.1	1
GCA_001314655.1	1
GCA_001314685.1	1
GCA_001314705.1	1
GCA_001314805.1	1
GCA_001314845.1	1
GCA_001314875.1	1
GCA_001399705.1	1
GCA_001404055.1	2
GCA_001443045.1	7
GCA_001443495.1	1
GCA_001449105.1	1
GCA_001464035.1	2
GCA_001464055.1	2
GCA_001464195.1	2
GCA_001464215.1	1
GCA_001464235.1	1
GCA_001464355.1	1
GCA_001464375.1	4
GCA_001464385.1	1
GCA_001464425.1	1
GCA_001464545.1	1
GCA_001464615.1	2
GCA_001464695.1	2
GCA_001464715.1	2
GCA_001464755.1	2
GCA_001464765.1	1
GCA_001464815.1	2
GCA_001464835.1	1
GCA_001464865.1	2
GCA_001464895.1	1
GCA_001464955.1	2
GCA_001465015.1	2
GCA_001499735.1	1
GCA_001507855.1	1
GCA_001510895.1	2
GCA_001513025.1	2
GCA_001516065.1	1
GCA_001516125.1	1
GCA_001527685.1	6
GCA_001544595.2	4
GCA_001544655.2	4
GCA_001556025.1	4
GCA_001557035.1	3
GCA_001563805.1	1
GCA_001564115.1	1
GCA_001564135.1	1
GCA_001564255.1	1
GCA_001577635.1	2
GCA_001580565.1	4
GCA_001602415.1	1
GCA_001602435.1	1
GCA_001602455.1	1
GCA_001603845.1	1
GCA_001626925.1	2
GCA_001627335.1	3
GCA_001636495.1	1
GCA_001643475.1	1
GCA_001644455.1	2
GCA_001648575.1	1
GCA_001657295.1	1
GCA_001657385.1	2
GCA_001657395.1	3
GCA_001664005.1	1
GCA_001665255.1	1
GCA_001665295.1	1
GCA_001683845.1	1
GCA_001724355.1	1
GCA_001724715.1	1
GCA_001724785.1	2
GCA_001724855.1	1
GCA_001724995.1	3
GCA_001725155.1	1
GCA_001725355.1	1
GCA_001725505.1	3
GCA_001725945.1	6
GCA_001767915.1	2
GCA_001767925.1	2
GCA_001767945.1	2
GCA_001770285.1	1
GCA_001770355.1	1
GCA_001770425.1	2
GCA_001770475.1	1
GCA_001770575.1	1
GCA_001770655.1	1
GCA_001770705.1	2
GCA_001770725.1	3
GCA_001770775.1	4
GCA_001770785.1	1
GCA_001770815.1	1
GCA_001770855.1	4
GCA_001770935.1	3
GCA_001770955.1	2
GCA_001771065.1	2
GCA_001771935.1	1
GCA_001771975.1	1
GCA_001771985.1	3
GCA_001772005.1	1
GCA_001772055.1	1
GCA_001775255.1	1
GCA_001780275.1	1
GCA_001784555.1	2
GCA_001784585.1	2
GCA_001788395.1	1
GCA_001795455.1	3
GCA_001796045.1	1
GCA_001796995.1	1
GCA_001797315.1	3
GCA_001801495.1	1
GCA_001801575.1	1
GCA_001801635.1	1
GCA_001801665.1	1
GCA_001801885.1	1
GCA_001828935.1	1
GCA_001829085.1	1
GCA_001830395.1	1
GCA_001854405.1	1
GCA_001871515.1	3
GCA_001871905.1	2
GCA_001872285.1	2
GCA_001874255.1	1
GCA_001890965.1	5
GCA_001896555.1	1
GCA_001897445.1	1
GCA_001897475.1	2
GCA_001897525.1	1
GCA_001897615.1	3
GCA_001897745.1	2
GCA_001897755.1	1
GCA_001897795.1	2
GCA_001897835.1	1
GCA_001897995.1	2
GCA_001898235.1	3
GCA_001898625.1	2
GCA_001898645.1	5
GCA_001898705.1	2
GCA_001898725.1	2
GCA_001898965.1	1
GCA_001899255.1	2
GCA_001899285.1	1
GCA_001899525.1	2
GCA_001899585.1	1
GCA_001899635.1	1
GCA_001899715.1	1
GCA_001899855.1	3
GCA_001917995.1	1
GCA_001931535.1	4
GCA_001941865.1	1
GCA_001953215.1	3
GCA_001971685.1	3
GCA_002007425.1	1
GCA_002013415.1	1
GCA_002013465.1	1
GCA_002013775.1	1
GCA_002050235.1	4
GCA_002067855.1	1
GCA_002068015.1	1
GCA_002070455.1	1
GCA_002083435.1	1
GCA_002083475.1	2
GCA_002083525.1	3
GCA_002083645.1	3
GCA_002083655.1	2
GCA_002083775.1	2
GCA_002083825.1	1
GCA_002102225.1	2
GCA_002149965.1	2
GCA_002162675.1	1
GCA_002162755.1	1
GCA_002162815.1	1
GCA_002162955.1	2
GCA_002162985.1	1
GCA_002163005.1	1
GCA_002163245.1	1
GCA_002163975.1	1
GCA_002166865.1	2
GCA_002167715.1	1
GCA_002168225.1	2
GCA_002173095.1	1
GCA_002205125.1	3
GCA_002213445.1	1
GCA_002239025.1	1
GCA_002240395.1	1
GCA_002255495.1	3
GCA_002255575.1	3
GCA_002255905.1	2
GCA_002255935.1	2
GCA_002255955.1	4
GCA_002256055.1	2
GCA_002256115.1	3
GCA_002256145.1	1
GCA_002256205.1	1
GCA_002256245.1	1
GCA_002256345.1	2
GCA_002256395.1	1
GCA_002256925.1	2
GCA_002257525.1	1
GCA_002279355.1	3
GCA_002279705.1	3
GCA_002279855.1	2
GCA_002279935.1	4
GCA_002280275.1	1
GCA_002280405.1	1
GCA_002280515.1	2
GCA_002280565.1	1
GCA_002280725.1	1
GCA_002280855.1	2
GCA_002280875.1	1
GCA_002281005.1	1
GCA_002281415.1	1
GCA_002281485.1	1
GCA_002281855.1	4
GCA_002282445.1	1
GCA_002282555.1	1
GCA_002282565.1	1
GCA_002287035.1	1
GCA_002291845.1	1
GCA_002291855.1	1
GCA_002291875.1	1
GCA_002291925.1	1
GCA_002291945.1	2
GCA_002291955.1	1
GCA_002292165.1	1
GCA_002296975.1	1
GCA_002297645.1	1
GCA_002298165.1	1
GCA_002298925.1	1
GCA_002298995.1	1
GCA_002299125.1	3
GCA_002304505.1	3
GCA_002304995.1	1
GCA_002307135.1	1
GCA_002307175.1	1
GCA_002307375.1	2
GCA_002307905.1	1
GCA_002308075.1	1
GCA_002314145.1	2
GCA_002319075.1	2
GCA_002320665.1	1
GCA_002320815.1	2
GCA_002324875.1	2
GCA_002327235.1	1
GCA_002327315.1	3
GCA_002327945.1	1
GCA_002329445.1	1
GCA_002331385.1	2
GCA_002333125.1	1
GCA_002333145.1	1
GCA_002333425.1	1
GCA_002336845.1	1
GCA_002336915.1	1
GCA_002336985.1	1
GCA_002337055.1	1
GCA_002337385.1	1
GCA_002337525.1	3
GCA_002339015.1	4
GCA_002339125.1	1
GCA_002340325.1	1
GCA_002340345.1	1
GCA_002340355.1	2
GCA_002340515.1	1
GCA_002341345.1	2
GCA_002342025.1	2
GCA_002342035.1	1
GCA_002342065.1	2
GCA_002342365.1	1
GCA_002343265.1	2
GCA_002343455.1	1
GCA_002344075.1	1
GCA_002344355.1	1
GCA_002344565.1	1
GCA_002344785.1	2
GCA_002344885.1	2
GCA_002344975.1	1
GCA_002345025.1	1
GCA_002345205.1	1
GCA_002346425.1	1
GCA_002347405.1	2
GCA_002347685.1	1
GCA_002347815.1	2
GCA_002348535.1	1
GCA_002352055.1	3
GCA_002352635.1	1
GCA_002354135.1	1
GCA_002354205.1	1
GCA_002356515.1	3
GCA_002356635.1	1
GCA_002359635.1	1
GCA_002359735.1	2
GCA_002360535.1	1
GCA_002363385.1	1
GCA_002364755.1	1
GCA_002365175.1	1
GCA_002366715.1	1
GCA_002366795.1	1
GCA_002366835.1	1
GCA_002375465.1	1
GCA_002377855.1	3
GCA_002381045.1	2
GCA_002382045.1	1
GCA_002383105.1	1
GCA_002384815.1	1
GCA_002384855.1	1
GCA_002386465.1	1
GCA_002387845.1	1
GCA_002389045.1	2
GCA_002389055.1	1
GCA_002390285.1	1
GCA_002390675.1	1
GCA_002390745.1	2
GCA_002390825.1	3
GCA_002391525.1	2
GCA_002397315.1	1
GCA_002401295.1	2
GCA_002401365.1	1
GCA_002402125.1	1
GCA_002403385.1	1
GCA_002403415.1	2
GCA_002403635.1	1
GCA_002405475.1	2
GCA_002408125.1	1
GCA_002412495.1	1
GCA_002413395.1	3
GCA_002413865.1	1
GCA_002415025.1	1
GCA_002415335.1	5
GCA_002418885.1	1
GCA_002419215.1	1
GCA_002420015.1	2
GCA_002420145.1	1
GCA_002421865.1	2
GCA_002421905.1	2
GCA_002421985.1	1
GCA_002422085.1	2
GCA_002422205.1	1
GCA_002422345.1	1
GCA_002422455.1	1
GCA_002422685.1	1
GCA_002422845.1	1
GCA_002422985.1	1
GCA_002422995.1	2
GCA_002423025.1	1
GCA_002423155.1	1
GCA_002423185.1	1
GCA_002423245.1	2
GCA_002424865.1	1
GCA_002425245.1	2
GCA_002425405.1	2
GCA_002425415.1	1
GCA_002427815.1	1
GCA_002428015.1	4
GCA_002428225.1	1
GCA_002428935.1	1
GCA_002431545.1	1
GCA_002432095.1	1
GCA_002433485.1	1
GCA_002434305.1	1
GCA_002435595.1	1
GCA_002435715.1	2
GCA_002440665.1	3
GCA_002441205.1	1
GCA_002441445.1	1
GCA_002448235.1	1
GCA_002448815.1	1
GCA_002451175.1	1
GCA_002454975.1	2
GCA_002455755.1	1
GCA_002469865.1	1
GCA_002471665.1	2
GCA_002482645.1	1
GCA_002482715.1	2
GCA_002482765.1	1
GCA_002482805.1	1
GCA_002483135.1	1
GCA_002494895.1	1
GCA_002501845.1	1
GCA_002551005.1	2
GCA_002578045.1	2
GCA_002582035.1	2
GCA_002632325.1	2
GCA_002633085.1	2
GCA_002686255.1	1
GCA_002687495.1	2
GCA_002689605.1	2
GCA_002690045.1	1
GCA_002695005.1	1
GCA_002695035.1	1
GCA_002699085.1	2
GCA_002699325.1	1
GCA_002700095.1	1
GCA_002701555.1	1
GCA_002701845.1	2
GCA_002702725.1	1
GCA_002704915.1	1
GCA_002706025.1	1
GCA_002706085.1	3
GCA_002706335.1	1
GCA_002706445.1	1
GCA_002706605.1	1
GCA_002707605.1	1
GCA_002707785.1	1
GCA_002707985.1	1
GCA_002708905.1	2
GCA_002709005.1	1
GCA_002709085.1	1
GCA_002709405.1	1
GCA_002709505.1	1
GCA_002709955.1	1
GCA_002710725.1	2
GCA_002710775.1	1
GCA_002718255.1	1
GCA_002720935.1	1
GCA_002721365.1	1
GCA_002723385.1	3
GCA_002724925.1	2
GCA_002725445.1	1
GCA_002729885.1	1
GCA_002730875.1	1
GCA_002731275.1	1
GCA_002731825.1	2
GCA_002731875.1	1
GCA_002733125.1	1
GCA_002733605.1	1
GCA_002733645.1	2
GCA_002733765.1	1
GCA_002746985.1	1
GCA_002747055.1	1
GCA_002747395.1	1
GCA_002748265.1	1
GCA_002748575.1	1
GCA_002753185.1	1
GCA_002753495.1	1
GCA_002753515.1	1
GCA_002753615.1	1
GCA_002753725.1	1
GCA_002753735.1	1
GCA_002781745.1	1
GCA_002782905.1	1
GCA_002783145.1	3
GCA_002783205.1	1
GCA_002783385.1	1
GCA_002783405.1	1
GCA_002785585.1	1
GCA_002786165.1	1
GCA_002786205.1	3
GCA_002786225.1	1
GCA_002786915.1	2
GCA_002789675.1	1
GCA_002789915.1	3
GCA_002791835.1	1
GCA_002798175.1	1
GCA_002798195.1	1
GCA_002798255.1	1
GCA_002798275.1	1
GCA_002798295.1	2
GCA_002835545.1	1
GCA_002839995.1	1
GCA_002840015.1	2
GCA_002840115.1	1
GCA_002840245.1	1
GCA_002840435.1	1
GCA_002840555.1	1
GCA_002840565.1	1
GCA_002840635.1	1
GCA_002840765.1	4
GCA_002840785.1	2
GCA_002840835.1	3
GCA_002840845.1	2
GCA_002841115.1	1
GCA_002841155.1	1
GCA_002841945.1	2
GCA_002842145.1	2
GCA_002842205.1	2
GCA_002842215.1	3
GCA_002842345.1	4
GCA_002842395.1	1
GCA_002842835.1	1
GCA_002842855.1	1
GCA_002842985.1	2
GCA_002858745.1	1
GCA_002861585.1	1
GCA_002862095.1	1
GCA_002863045.1	1
GCA_002863155.1	2
GCA_002890675.1	4
GCA_002898795.1	2
GCA_002919265.1	1
GCA_002928515.1	1
GCA_002928735.1	1
GCA_002928875.1	2
GCA_002928955.1	3
GCA_002929055.1	3
GCA_002966495.1	1
GCA_002968015.1	2
GCA_002995625.1	1
GCA_003003615.1	2
GCA_003021015.1	1
GCA_003021045.1	1
GCA_003021175.1	1
GCA_003021305.1	1
GCA_003021655.1	1
GCA_003021705.1	1
GCA_003021975.1	1
GCA_003022845.1	1
GCA_003022925.1	1
GCA_003023185.1	1
GCA_003030785.1	1
GCA_003056425.1	1
GCA_003105015.1	1
GCA_003105185.1	1
GCA_003105245.1	2
GCA_003105285.1	2
GCA_003131635.1	1
GCA_003131705.1	1
GCA_003132085.1	3
GCA_003132405.1	1
GCA_003132425.1	1
GCA_003133025.1	1
GCA_003133225.1	4
GCA_003133245.1	3
GCA_003133345.1	1
GCA_003134035.1	2
GCA_003134075.1	1
GCA_003135315.1	1
GCA_003135415.1	1
GCA_003136185.1	1
GCA_003136255.1	1
GCA_003136595.1	5
GCA_003136615.1	1
GCA_003136895.1	1
GCA_003136935.1	1
GCA_003137135.1	5
GCA_003139415.1	2
GCA_003139615.1	1
GCA_003140135.1	1
GCA_003140315.1	1
GCA_003141815.1	1
GCA_003142535.1	2
GCA_003151155.1	1
GCA_003151415.1	1
GCA_003151425.1	2
GCA_003152055.1	3
GCA_003153195.1	1
GCA_003153235.1	1
GCA_003153315.1	2
GCA_003153415.1	1
GCA_003153435.1	1
GCA_003153455.1	2
GCA_003153675.1	2
GCA_003155135.1	1
GCA_003155175.1	1
GCA_003155415.1	1
GCA_003156695.1	1
GCA_003156715.1	2
GCA_003157035.1	1
GCA_003158255.1	2
GCA_003160635.1	3
GCA_003161435.1	1
GCA_003161555.1	1
GCA_003161855.1	1
GCA_003162555.1	1
GCA_003162995.1	4
GCA_003164135.1	3
GCA_003164375.1	3
GCA_003164495.1	3
GCA_003164825.1	4
GCA_003164855.1	1
GCA_003164925.1	2
GCA_003164955.1	1
GCA_003165155.1	2
GCA_003165275.1	1
GCA_003165495.1	1
GCA_003165655.1	2
GCA_003165795.1	1
GCA_003167055.1	1
GCA_003168215.1	2
GCA_003168255.1	2
GCA_003169835.1	1
GCA_003170275.1	1
GCA_003176995.1	8
GCA_003217735.2	2
GCA_003220195.1	1
GCA_003220225.1	1
GCA_003220265.1	1
GCA_003220315.1	2
GCA_003220335.1	1
GCA_003220345.1	1
GCA_003220435.1	1
GCA_003220475.1	1
GCA_003220495.1	1
GCA_003220535.1	1
GCA_003220615.1	1
GCA_003220675.1	1
GCA_003220685.1	1
GCA_003221515.1	1
GCA_003221595.1	1
GCA_003221615.1	1
GCA_003221695.1	2
GCA_003223165.1	1
GCA_003228685.1	2
GCA_003228965.1	1
GCA_003229095.1	2
GCA_003230015.1	1
GCA_003233115.1	1
GCA_003235325.1	1
GCA_003240735.1	1
GCA_003240795.1	1
GCA_003240855.1	1
GCA_003241055.1	3
GCA_003241285.1	1
GCA_003241385.1	2
GCA_003241475.1	1
GCA_003241485.1	2
GCA_003241685.1	1
GCA_003241785.1	2
GCA_003241815.1	1
GCA_003241825.1	1
GCA_003241875.1	1
GCA_003241965.1	4
GCA_003242075.1	1
GCA_003242355.2	2
GCA_003242495.1	1
GCA_003242955.1	1
GCA_003243195.1	1
GCA_003243425.1	1
GCA_003243455.1	2
GCA_003244015.1	4
GCA_003244055.1	1
GCA_003244205.1	1
GCA_003245575.1	2
GCA_003246795.1	2
GCA_003248805.1	4
GCA_003248865.1	2
GCA_003249035.1	1
GCA_003249215.1	1
GCA_003249315.1	1
GCA_003250135.1	1
GCA_003250495.1	1
GCA_003250865.1	1
GCA_003250975.1	1
GCA_003251795.1	1
GCA_003252145.1	1
GCA_003255745.1	1
GCA_003265685.1	3
GCA_003268905.1	4
GCA_003335585.1	2
GCA_003353855.1	1
GCA_003388555.1	1
GCA_003400185.1	1
GCA_003417655.1	1
GCA_003446655.1	2
GCA_003449595.1	1
GCA_003452275.1	1
GCA_003452655.1	1
GCA_003482555.1	4
GCA_003483885.1	5
GCA_003484545.1	1
GCA_003484805.1	2
GCA_003485325.1	1
GCA_003485715.1	3
GCA_003500165.1	1
GCA_003506895.1	2
GCA_003509785.1	1
GCA_003511825.1	1
GCA_003520545.1	1
GCA_003521815.1	1
GCA_003524365.1	2
GCA_003525885.1	1
GCA_003526465.1	1
GCA_003537575.1	4
GCA_003538525.1	1
GCA_003543245.1	1
GCA_003550665.1	2
GCA_003550945.1	1
GCA_003551265.1	1
GCA_003551745.1	2
GCA_003551805.1	1
GCA_003551925.1	1
GCA_003552345.1	1
GCA_003552625.1	1
GCA_003552795.1	2
GCA_003552885.1	1
GCA_003556225.1	1
GCA_003558415.1	1
GCA_003558625.1	1
GCA_003559215.1	1
GCA_003560175.1	1
GCA_003560975.1	1
GCA_003561495.1	1
GCA_003561595.1	1
GCA_003562535.1	2
GCA_003563455.1	1
GCA_003564655.1	1
GCA_003565055.1	1
GCA_003565625.1	1
GCA_003565775.1	1
GCA_003567315.1	1
GCA_003567475.1	2
GCA_003567855.1	2
GCA_003569705.1	1
GCA_003569915.1	3
GCA_003574685.1	1
GCA_003576765.1	2
GCA_003576795.1	1
GCA_003577315.1	1
GCA_003583745.1	3
GCA_003586445.1	1
GCA_003597945.1	2
GCA_003599455.1	4
GCA_003599575.1	2
GCA_003605175.1	1
GCA_003645535.1	1
GCA_003646405.1	1
GCA_003646415.1	1
GCA_003646715.1	1
GCA_003647035.1	1
GCA_003667865.1	1
GCA_003694325.1	2
GCA_003695135.1	2
GCA_003695455.1	1
GCA_003695505.1	1
GCA_003695705.1	1
GCA_003696105.1	2
GCA_003696865.1	1
GCA_003697125.1	2
GCA_003818285.1	1
GCA_003818495.1	2
GCA_003819815.1	1
GCA_003820645.1	1
GCA_003859965.1	2
GCA_003962985.1	3
GCA_003963005.1	4
GCA_003963075.1	5
GCA_003963115.1	5
GCA_003963125.1	3
GCA_003963145.1	5
GCA_003963245.1	3
GCA_003963435.1	4
GCA_003963455.1	3
GCA_003970805.2	1
GCA_003987795.1	2
GCA_004005435.1	1
GCA_004017275.1	2
GCA_004020315.1	1
GCA_004020645.1	2
GCA_004134995.1	2
GCA_004138175.2	1
GCA_004143945.1	1
GCA_004144595.1	1
GCA_004144865.1	3
GCA_004153385.1	1
GCA_004173185.1	1
GCA_004173455.1	1
GCA_004193205.1	1
GCA_004193325.1	2
GCA_004195305.1	1
GCA_004210915.1	1
GCA_004211245.1	2
GCA_004283055.1	1
GCA_004292675.1	1
GCA_004292755.1	2
GCA_004292785.1	1
GCA_004292795.1	2
GCA_004293295.1	1
GCA_004293725.1	1
GCA_004293815.1	1
GCA_004293905.1	2
GCA_004293935.1	1
GCA_004295005.1	4
GCA_004295105.1	2
GCA_004295565.1	1
GCA_004296815.1	2
GCA_004297005.1	1
GCA_004297335.1	1
GCA_004297465.1	3
GCA_004297485.1	2
GCA_004297545.1	1
GCA_004297625.1	3
GCA_004297725.1	2
GCA_004297865.1	1
GCA_004297945.1	2
GCA_004298015.1	4
GCA_004298045.1	3
GCA_004298295.1	1
GCA_004298325.1	2
GCA_004298385.1	2
GCA_004298435.1	1
GCA_004298505.1	3
GCA_004298545.1	2
GCA_004298905.1	3
GCA_004299095.1	3
GCA_004299555.1	1
GCA_004299665.1	1
GCA_004322005.1	1
GCA_004322045.1	4
GCA_004322085.1	4
GCA_004322135.1	2
GCA_004322345.1	6
GCA_004322435.1	1
GCA_004322465.1	1
GCA_004322535.1	3
GCA_004323695.1	3
GCA_004343775.1	6
GCA_004345325.1	1
GCA_004359425.1	2
GCA_004366205.1	1
GCA_004367505.1	1
GCA_004369025.1	1
GCA_004376055.2	1
GCA_004379165.1	2
GCA_004551485.1	1
GCA_004555545.1	1
GCA_004563715.1	2
GCA_004564215.1	4
GCA_004570315.1	2
GCA_004570425.1	2
GCA_004769085.1	1
GCA_004791255.1	2
GCA_004796365.1	2
GCA_004796385.1	3
GCA_004799435.1	2
GCA_004827385.1	3
GCA_005239165.1	1
GCA_005239635.1	1
GCA_005239745.1	1
GCA_005240015.1	3
GCA_005240145.1	1
GCA_005473895.2	1
GCA_005502805.1	2
GCA_005502875.1	3
GCA_005502915.1	1
GCA_005502925.1	2
GCA_005503065.1	3
GCA_005503165.1	2
GCA_005503215.1	2
GCA_005503335.1	5
GCA_005768755.1	1
GCA_005773165.1	1
GCA_005776585.1	1
GCA_005776725.1	1
GCA_005777185.1	2
GCA_005777205.1	1
GCA_005778355.1	1
GCA_005779305.1	2
GCA_005786815.1	1
GCA_005788065.1	3
GCA_005789685.1	2
GCA_005789825.1	1
GCA_005792635.1	1
GCA_005793295.1	2
GCA_005793345.1	1
GCA_005797785.1	1
GCA_005799745.1	1
GCA_005800325.1	1
GCA_005800405.1	1
GCA_005800795.1	1
GCA_005800865.1	2
GCA_005804885.1	1
GCA_005877075.1	2
GCA_005877205.1	2
GCA_005877305.1	1
GCA_005877345.1	4
GCA_005877675.1	3
GCA_005877705.1	1
GCA_005877965.1	2
GCA_005878095.1	2
GCA_005878835.1	1
GCA_005879535.1	1
GCA_005879805.1	1
GCA_005880055.1	1
GCA_005880075.1	1
GCA_005881575.1	1
GCA_005881595.1	3
GCA_005881895.1	3
GCA_005882155.1	2
GCA_005882215.1	7
GCA_005882235.1	1
GCA_005882715.1	1
GCA_005882985.1	1
GCA_005882995.1	3
GCA_005883115.1	2
GCA_005883135.1	3
GCA_005883445.1	5
GCA_005883655.1	4
GCA_005883665.1	1
GCA_005883675.1	4
GCA_005884255.1	3
GCA_005884335.1	1
GCA_005884455.1	1
GCA_005884465.1	3
GCA_005884685.1	1
GCA_005884705.1	1
GCA_005884745.1	1
GCA_005884765.1	5
GCA_005884855.1	2
GCA_005885285.1	5
GCA_005885555.1	2
GCA_005887895.1	1
GCA_005887925.1	1
GCA_005888515.1	1
GCA_005888525.1	4
GCA_005888865.1	3
GCA_005888925.1	2
GCA_005888955.1	2
GCA_005889025.1	2
GCA_005889515.1	3
GCA_006212045.1	1
GCA_006218025.1	1
GCA_006218035.1	1
GCA_006218045.1	1
GCA_006218065.1	1
GCA_006226225.1	3
GCA_006226265.1	1
GCA_006226375.1	1
GCA_006226565.1	1
GCA_006226595.1	1
GCA_006226685.1	2
GCA_006226775.1	3
GCA_006227775.1	1
